,L1,L2
2019-03-17,6.996569510404936e-05,0.000536985684672284
2019-03-18,6.363238407942678e-05,0.0005265035366962999
2019-03-19,6.363238407942678e-05,0.0005265035366962999
2019-03-20,6.36470921478705e-05,0.000526504665999217
2019-03-21,9.42154230549946e-06,0.00010489564099484369
2019-03-22,9.42154230549946e-06,0.00010489564099484369
2019-03-23,9.42154230549946e-06,0.00010489564099484369
2019-03-24,9.42154230549946e-06,0.00010489564099484369
2019-03-25,9.42154230549946e-06,0.00010489564099484369
2019-03-26,9.42154230549946e-06,0.00010489564099484369
2019-03-27,9.42154230549946e-06,0.00010489564099484369
2019-03-28,1.3457273452293934e-05,0.000129909882868467
2019-03-29,1.3457273452293934e-05,0.000129909882868467
2019-03-30,9.20122781322111e-06,0.00010486972975344085
2019-03-31,1.4886866076949503e-05,0.00013603632808363025
2019-04-01,1.4886866076949503e-05,0.00013603632808363025
2019-04-02,1.4886866076949503e-05,0.00013603632808363025
2019-04-03,1.5047629096761033e-05,0.00013619407041115617
2019-04-04,1.6404372134386485e-05,0.00014006556976724124
2019-04-05,1.6404372134386485e-05,0.00014006556976724124
2019-04-06,1.570725613633155e-05,0.0001387460932163578
2019-04-07,1.570725613633155e-05,0.0001387460932163578
2019-04-08,1.7521845843505423e-05,0.00014430077846128706
2019-04-09,1.9144884658054296e-05,0.00015361195439722534
2019-04-10,2.191803811703503e-05,0.00016304215403847118
2019-04-11,1.7077976715145502e-05,0.00013976687822713307
2019-04-12,1.8827808339729477e-05,0.00015616988506541319
2019-04-13,1.8815048141726217e-05,0.00015616680845962513
2019-04-14,1.8092857405179992e-05,0.00015435054345556124
2019-04-15,1.81782089925715e-05,0.0001547067743242214
2019-04-16,2.5545432502595668e-05,0.00018341236197969344
2019-04-17,2.5545432502595668e-05,0.00018341236197969344
2019-04-18,2.5545432502595668e-05,0.00018341236197969344
2019-04-19,2.527828313970363e-05,0.00018316124344756654
2019-04-20,3.801677777178717e-05,0.00027447534499506907
2019-04-21,3.8471011101750587e-05,0.0002748468802816692
2019-04-22,3.9000596238904575e-05,0.00027518664910011385
2019-04-23,3.880883945756204e-05,0.0002750849170572223
2019-04-24,3.882888979541126e-05,0.00027508835732140027
2019-04-25,3.882888979541126e-05,0.00027508835732140027
2019-04-26,3.6545921776815274e-05,0.00026929989548440687
2019-04-27,3.717223670572124e-05,0.00028476463239793774
2019-04-28,3.5429913540477656e-05,0.00028241754886678446
2019-04-29,3.5883264477188856e-05,0.0002827093928417124
2019-04-30,3.598731594207146e-05,0.0002827489641502936
2019-05-01,3.964860800126889e-05,0.00029104598642373857
2019-05-02,4.1576309400862335e-05,0.00030527506878604775
2019-05-03,4.165243676804587e-05,0.00030544690830713796
2019-05-04,3.7468743483229545e-05,0.00029803022960813406
2019-05-05,3.7468743483229545e-05,0.00029803022960813406
2019-05-06,3.741283675439636e-05,0.0002980154444721411
2019-05-07,4.017765645291348e-05,0.00030323811283500924
2019-05-08,4.017765645291348e-05,0.00030323811283500924
2019-05-09,4.017765645291348e-05,0.00030323811283500924
2019-05-10,3.972342312295006e-05,0.00030290140390122616
2019-05-11,3.2728268514558775e-05,0.0002794713207327301
2019-05-12,8.168245456654545e-05,0.0005481225833915217
2019-05-13,8.385608763343023e-05,0.0005500679899597818
2019-05-14,8.479568367916312e-05,0.0005507811135822374
2019-05-15,9.130688620574614e-05,0.0005641686281990223
2019-05-16,0.00010024658492059548,0.0005797461863161875
2019-05-17,8.540741679886367e-05,0.0005310385374479867
2019-05-18,8.447137249194877e-05,0.0005297310693874872
2019-05-19,8.268004277393881e-05,0.0005252022291682467
2019-05-20,9.569460462698076e-05,0.0005595811950898797
2019-05-21,9.659606851836807e-05,0.0005605817353748037
2019-05-22,9.499983903822444e-05,0.0005572575791035476
2019-05-23,8.641269538292497e-05,0.0005408776552163875
2019-05-24,8.182557126969713e-05,0.0005342538271303425
2019-05-25,8.182557126969713e-05,0.0005342538271303425
2019-05-26,8.369766946290415e-05,0.0005362953063426113
2019-05-27,8.370755821251498e-05,0.0005362980861581846
2019-05-28,8.135268168498432e-05,0.0005340472855868267
2019-05-29,8.135268168498432e-05,0.0005340472855868267
2019-05-30,7.161136778313822e-05,0.0005029596100745304
2019-05-31,9.066666992402043e-05,0.0005642696926142247
2019-06-01,9.024797028279585e-05,0.0005640435677589256
2019-06-02,0.00010058026018244272,0.0005804962794643524
2019-06-03,0.0001344559392785034,0.0007286897835083594
2019-06-04,0.00017248203259527008,0.0009062995919497654
2019-06-05,0.00017387553759444334,0.0009069044101737842
2019-06-06,0.0001665117212391442,0.0008979023377838838
2019-06-07,0.00016440563916178368,0.0008968812685683219
2019-06-08,0.00017427888045834332,0.0009077378258925665
2019-06-09,0.00017396610439025535,0.0009076735890844813
2019-06-10,0.0001722724130029914,0.0009068637583627969
2019-06-11,0.00017390406429375078,0.0009076295214012387
2019-06-12,0.0001722724130029914,0.0009068637583627969
2019-06-13,0.00016001168783161008,0.0008949278061844088
2019-06-14,0.00011383786094322241,0.0007627016745407082
2019-06-15,0.00011383786094322241,0.0007627016745407082
2019-06-16,0.00011383786094322241,0.0007627016745407082
2019-06-17,0.0001138425793455718,0.0007627018161906701
2019-06-18,0.00011233170497453818,0.0007618897381577016
2019-06-19,0.00011233170497453818,0.0007618897381577016
2019-06-20,0.00011066183070895189,0.0007609450649353613
2019-06-21,0.00011035110525204825,0.0007611132266187678
2019-06-22,0.00011132069309306367,0.0007619832270502664
2019-06-23,0.00011132069309306367,0.0007619832270502664
2019-06-24,2.475658782918541e-05,0.0002090241893885811
2019-06-25,2.5205053311973258e-05,0.00022439067580843012
2019-06-26,0.00012496528330178253,0.0008916824961485834
2019-06-27,0.00011910058645423025,0.000881277340163665
2019-06-28,0.00012380977037213404,0.0008851342130229453
2019-06-29,0.00012538448716572798,0.0008861646798843532
2019-06-30,0.00012187453686364567,0.000884310568843718
2019-07-01,5.5421359518331714e-05,0.0004271621098134415
2019-07-02,1.9353739115549745e-05,0.00017013354835760107
2019-07-03,2.6473408397766074e-05,0.00020398585303910746
2019-07-04,2.6473408397766074e-05,0.00020398585303910746
2019-07-05,1.9458921714136414e-05,0.0001799536423084358
2019-07-06,1.9458921714136414e-05,0.0001799536423084358
2019-07-07,1.8336547399245597e-05,0.00016922762850207123
2019-07-08,1.670717940870179e-05,0.00016508008341253766
2019-07-09,1.6598598068726968e-05,0.00016500782108837663
2019-07-10,1.5247375130576259e-05,0.00015436615196771252
2019-07-11,1.5247375130576259e-05,0.00015436615196771252
2019-07-12,1.5247375130576259e-05,0.00015436615196771252
2019-07-13,1.683002523572303e-05,0.00015877258373719986
2019-07-14,1.4899874387405872e-05,0.0001450356064514308
2019-07-15,4.3791874485675335e-05,0.0002926433920495822
2019-07-16,4.6609210431892804e-05,0.00029761922507386465
2019-07-17,4.8675231475027274e-05,0.0003009268273419447
2019-07-18,4.8675231475027274e-05,0.0003009268273419447
2019-07-19,4.6282617454438194e-05,0.00029997718021904915
2019-07-20,4.978746173075425e-05,0.00031693871433120205
2019-07-21,3.501191120158179e-05,0.0002459699295199547
2019-07-22,3.501191120158179e-05,0.0002459699295199547
2019-07-23,3.522786956069741e-05,0.00024610589596405944
2019-07-24,3.522786956069741e-05,0.00024610589596405944
2019-07-25,2.9865811529390142e-05,0.00021952943437913766
2019-07-26,2.4374181349765683e-05,0.00020411874893231467
2019-07-27,2.5961602614488384e-05,0.0001975006542615747
2019-07-28,2.7388680651172295e-05,0.00020128797156834075
2019-07-29,2.7477499048254687e-05,0.00020133180122193378
2019-07-30,3.0736929572768544e-05,0.00021084952338562278
2019-07-31,2.7477499048254687e-05,0.00020133180122193378
2019-08-01,2.6764585224076966e-05,0.0001990613439064624
2019-08-02,3.9466299420650754e-05,0.00029160415051387035
2019-08-03,4.7801392975424864e-05,0.00031792384255405724
2019-08-04,4.7801392975424864e-05,0.00031792384255405724
2019-08-05,4.96358203826517e-05,0.00032657796852340475
2019-08-06,4.96358203826517e-05,0.00032657796852340475
2019-08-07,5.09762041583043e-05,0.00032815807457042145
2019-08-08,5.1021326320436e-05,0.000328167810424603
2019-08-09,3.0463456101003858e-05,0.0002134325263336857
2019-08-10,3.319781370140183e-05,0.00022038098744182666
2019-08-11,4.721219723710819e-05,0.0003067277956389706
2019-08-12,8.397188966467739e-05,0.0004666653373996252
2019-08-13,8.487039470260558e-05,0.0004667536566122754
2019-08-14,8.487039470260558e-05,0.0004667536566122754
2019-08-15,6.062798482451941e-05,0.00036540215088527473
2019-08-16,5.796672066712798e-05,0.0003614200474628157
2019-08-17,5.533359706347881e-05,0.00035743886964162007
2019-08-18,5.6044985558701375e-05,0.000357941108271219
2019-08-19,5.802164511728002e-05,0.0003621495579812672
2019-08-20,5.802164511728002e-05,0.0003621495579812672
2019-08-21,6.16066531597629e-05,0.0003644507613954929
2019-08-22,6.78154418219121e-05,0.0004034974408317346
2019-08-23,6.447454576419005e-05,0.00039842083933555735
2019-08-24,4.801288449421664e-05,0.0003143670822070255
2019-08-25,4.7997567331469274e-05,0.0003143650721399046
2019-08-26,5.371790139051778e-05,0.0003349629433702572
2019-08-27,5.415465084380143e-05,0.00033525005081384287
2019-08-28,4.596723705476823e-05,0.0003052114184364763
2019-08-29,3.9813657465393414e-05,0.00028022368736369663
2019-08-30,4.3490333407602937e-05,0.00029611515795080376
2019-08-31,2.8355114695682512e-05,0.00019942578181608673
2019-09-01,2.8355114695682512e-05,0.00019942578181608673
2019-09-02,3.094607667246743e-05,0.0002123153281890686
2019-09-03,2.1423176487895927e-05,0.00017509223967918265
2019-09-04,2.1667879777505575e-05,0.00017538659818916978
